word,layer_0,layer_1,layer_2
render,1.0,0.767,0.7
one,1.0,0.457,0.373
language,1.0,0.722,0.634
in,1.0,0.421,0.319
another,1.0,0.55,0.426
words,1.0,0.741,0.671
from,1.0,0.443,0.311
into,1.0,0.553,0.438
nations,1.0,0.695,0.614
by,1.0,0.46,0.338
shared,1.0,0.773,0.629
interests,1.0,0.694,0.589
history,1.0,0.74,0.642
or,1.0,0.43,0.325
institutions,1.0,0.792,0.719
a,1.0,0.416,0.376
group,1.0,0.717,0.597
of,1.0,0.346,0.272
having,1.0,0.623,0.512
common,1.0,0.633,0.47
convert,1.0,0.733,0.607
as,1.0,0.444,0.354
if,1.0,0.616,0.501
with,1.0,0.507,0.376
heat,1.0,0.721,0.609
chemical,1.0,0.741,0.591
process,1.0,0.692,0.586
means,1.0,0.586,0.428
action,1.0,0.727,0.604
adapt,1.0,0.867,0.836
to,1.0,0.361,0.304
an,1.0,0.484,0.482
study,1.0,0.703,0.564
work,1.0,0.613,0.484
oneself,1.0,0.7,0.597
special,1.0,0.657,0.446
area,1.0,0.711,0.594
wooden,1.0,0.771,0.659
porch,1.0,0.849,0.8
house,1.0,0.661,0.529
that,1.0,0.476,0.388
the,1.0,0.36,0.322
deck,1.0,0.776,0.665
on,1.0,0.448,0.35
ship,1.0,0.731,0.622
either,1.0,0.579,0.381
half,1.0,0.548,0.423
bow,1.0,0.659,0.538
two,1.0,0.5,0.391
handle,1.0,0.621,0.481
device,1.0,0.702,0.591
is,1.0,0.535,0.448
larger,1.0,0.672,0.491
object,1.0,0.64,0.537
supplementary,1.0,0.843,0.776
part,1.0,0.606,0.475
confine,1.0,0.819,0.777
place,1.0,0.617,0.513
limits,1.0,0.698,0.543
extent,1.0,0.683,0.617
access,1.0,0.76,0.644
be,1.0,0.524,0.493
opposite,1.0,0.814,0.729
Bring,1.0,0.738,0.718
back,1.0,0.531,0.395
life,1.0,0.675,0.547
return,1.0,0.653,0.511
dead,1.0,0.749,0.605
cause,1.0,0.749,0.662
become,1.0,0.691,0.634
alive,1.0,0.766,0.659
again,1.0,0.651,0.494
anything,1.0,0.661,0.588
not,1.0,0.498,0.389
concrete,1.0,0.647,0.475
real,1.0,0.556,0.418
something,1.0,0.726,0.661
no,1.0,0.565,0.473
substance,1.0,0.721,0.59
name,1.0,0.652,0.49
trait,1.0,0.843,0.813
product,1.0,0.752,0.602
type,1.0,0.639,0.485
thing,1.0,0.648,0.583
given,1.0,0.58,0.449
service,1.0,0.652,0.488
processing,1.0,0.698,0.573
operation,1.0,0.658,0.529
set,1.0,0.592,0.388
sequence,1.0,0.708,0.649
steps,1.0,0.689,0.552
computer,1.0,0.689,0.559
program,1.0,0.713,0.583
line,1.0,0.654,0.525
cover,1.0,0.674,0.528
front,1.0,0.817,0.718
surface,1.0,0.704,0.632
determine,1.0,0.766,0.713
standard,1.0,0.671,0.472
estimate,1.0,0.663,0.537
capacity,1.0,0.647,0.511
measurement,1.0,0.743,0.679
value,1.0,0.73,0.629
interpretation,1.0,0.76,0.705
account,1.0,0.667,0.539
reading,1.0,0.695,0.588
event,1.0,0.685,0.6
situation,1.0,0.709,0.609
mental,1.0,0.768,0.628
representation,1.0,0.765,0.657
meaning,1.0,0.697,0.623
significance,1.0,0.738,0.719
social,1.0,0.743,0.566
occasion,1.0,0.617,0.578
which,1.0,0.563,0.398
people,1.0,0.606,0.491
can,1.0,0.572,0.474
for,1.0,0.419,0.327
and,1.0,0.316,0.209
entertainment,1.0,0.724,0.553
Make,1.0,0.771,0.739
fine,1.0,0.736,0.604
optimal,1.0,0.808,0.713
certain,1.0,0.556,0.418
scale,1.0,0.719,0.54
make,1.0,0.663,0.609
divide,1.0,0.763,0.661
marked,1.0,0.613,0.434
measuring,1.0,0.695,0.548
short,1.0,0.645,0.48
intended,1.0,0.634,0.462
song,1.0,0.741,0.663
manipulate,1.0,0.804,0.715
entity,1.0,0.782,0.703
employ,1.0,0.668,0.587
employed,1.0,0.795,0.765
position,1.0,0.683,0.572
someone,1.0,0.69,0.633
job,1.0,0.713,0.605
defined,1.0,0.795,0.682
specific,1.0,0.603,0.465
organization,1.0,0.665,0.55
associated,1.0,0.705,0.559
personnel,1.0,0.625,0.494
especially,1.0,0.708,0.515
storage,1.0,0.705,0.608
cabinet,1.0,0.673,0.532
furniture,1.0,0.788,0.736
office,1.0,0.637,0.493
consisting,1.0,0.856,0.692
container,1.0,0.813,0.719
keeping,1.0,0.715,0.55
papers,1.0,0.702,0.557
order,1.0,0.736,0.614
approval,1.0,0.682,0.558
interest,1.0,0.661,0.534
briefly,1.0,0.52,0.362
shut,1.0,0.701,0.496
eye,1.0,0.663,0.565
signal,1.0,0.696,0.54
capital,1.0,0.675,0.486
stock,1.0,0.634,0.473
any,1.0,0.545,0.448
equal,1.0,0.695,0.564
portions,1.0,0.634,0.547
divided,1.0,0.678,0.496
prove,1.0,0.78,0.715
establish,1.0,0.748,0.658
strengthen,1.0,0.775,0.668
new,1.0,0.591,0.39
evidence,1.0,0.711,0.629
facts,1.0,0.74,0.678
content,1.0,0.631,0.556
communication,1.0,0.714,0.614
usually,1.0,0.633,0.462
brief,1.0,0.646,0.576
written,1.0,0.628,0.489
spoken,1.0,0.656,0.498
teeth,1.0,0.795,0.74
side,1.0,0.66,0.534
missing,1.0,0.687,0.516
move,1.0,0.746,0.67
lower,1.0,0.626,0.502
association,1.0,0.672,0.543
flow,1.0,0.681,0.549
liquids,1.0,0.685,0.588
reduce,1.0,0.767,0.694
reduced,1.0,0.752,0.643
solid,1.0,0.602,0.505
liquid,1.0,0.774,0.664
state,1.0,0.623,0.496
heating,1.0,0.601,0.431
protect,1.0,0.765,0.653
treat,1.0,0.651,0.533
body,1.0,0.678,0.539
it,1.0,0.439,0.391
applying,1.0,0.777,0.67
provide,1.0,0.714,0.627
therapy,1.0,0.678,0.556
blood,1.0,0.678,0.556
physically,1.0,0.719,0.62
create,1.0,0.731,0.629
mark,1.0,0.618,0.431
marks,1.0,0.638,0.444
completely,1.0,0.621,0.466
close,1.0,0.615,0.439
covering,1.0,0.588,0.401
border,1.0,0.694,0.552
act,1.0,0.851,0.808
ending,1.0,0.645,0.46
end,1.0,0.582,0.424
word,1.0,0.693,0.58
final,1.0,0.563,0.402
price,1.0,0.674,0.515
good,1.0,0.57,0.468
assertion,1.0,0.719,0.712
guilty,1.0,0.728,0.63
fault,1.0,0.716,0.679
art,1.0,0.683,0.563
model,1.0,0.757,0.625
image,1.0,0.663,0.569
travel,1.0,0.693,0.561
shaped,1.0,0.701,0.542
like,1.0,0.561,0.454
bend,1.0,0.784,0.726
shape,1.0,0.669,0.599
perhaps,1.0,0.671,0.582
playfully,1.0,0.709,0.545
fun,1.0,0.657,0.588
Cause,1.0,0.807,0.745
smell,1.0,0.768,0.706
bad,1.0,0.663,0.566
extremely,1.0,0.689,0.556
quality,1.0,0.706,0.61
's,1.0,0.386,0.265
performance,1.0,0.62,0.505
relative,1.0,0.65,0.54
standing,1.0,0.845,0.766
things,1.0,0.64,0.564
persons,1.0,0.631,0.538
society,1.0,0.731,0.558
consider,1.0,0.662,0.597
observe,1.0,0.722,0.697
carefully,1.0,0.787,0.685
detail,1.0,0.76,0.663
subject,1.0,0.601,0.446
analysis,1.0,0.708,0.58
discover,1.0,0.712,0.64
essential,1.0,0.85,0.762
features,1.0,0.613,0.478
achieve,1.0,0.743,0.687
acceptance,1.0,0.857,0.83
somebody,1.0,0.781,0.762
accept,1.0,0.773,0.706
physical,1.0,0.664,0.548
matter,1.0,0.658,0.528
left,1.0,0.552,0.357
behind,1.0,0.691,0.551
after,1.0,0.622,0.422
removal,1.0,0.748,0.647
remains,1.0,0.64,0.441
has,1.0,0.588,0.475
been,1.0,0.573,0.491
removed,1.0,0.679,0.545
tall,1.0,0.756,0.647
vertical,1.0,0.814,0.788
column,1.0,0.664,0.525
heavy,1.0,0.638,0.451
radioactive,1.0,0.724,0.581
element,1.0,0.707,0.576
atomic,1.0,0.786,0.658
number,1.0,0.67,0.525
white,1.0,0.738,0.636
occurs,1.0,0.823,0.744
many,1.0,0.579,0.468
used,1.0,0.676,0.528
nuclear,1.0,0.702,0.553
weapons,1.0,0.695,0.579
about,1.0,0.516,0.422
say,1.0,0.575,0.51
mean,1.0,0.63,0.542
care,1.0,0.639,0.517
bothered,1.0,0.768,0.718
concerned,1.0,0.748,0.627
take,1.0,0.621,0.568
points,1.0,0.695,0.564
game,1.0,0.695,0.597
at,1.0,0.448,0.325
time,1.0,0.556,0.463
expresses,1.0,0.813,0.714
team,1.0,0.624,0.453
individual,1.0,0.68,0.506
contest,1.0,0.684,0.571
so,1.0,0.507,0.394
block,1.0,0.624,0.392
truth,1.0,0.813,0.747
prevent,1.0,0.765,0.653
distribution,1.0,0.749,0.648
political,1.0,0.619,0.47
religious,1.0,0.706,0.582
moral,1.0,0.68,0.57
meeting,1.0,0.712,0.564
electrical,1.0,0.827,0.723
connection,1.0,0.685,0.571
between,1.0,0.662,0.488
earth,1.0,0.76,0.66
large,1.0,0.653,0.526
conducting,1.0,0.639,0.491
such,1.0,0.581,0.385
taken,1.0,0.597,0.474
zero,1.0,0.774,0.683
voltage,1.0,0.745,0.668
agent,1.0,0.8,0.678
activity,1.0,0.712,0.643
famous,1.0,0.595,0.462
fictional,1.0,0.739,0.732
well,1.0,0.571,0.44
known,1.0,0.638,0.441
person,1.0,0.776,0.704
who,1.0,0.644,0.489
controls,1.0,0.692,0.495
machine,1.0,0.793,0.683
some,1.0,0.551,0.416
find,1.0,0.672,0.611
indicate,1.0,0.735,0.666
site,1.0,0.665,0.504
instrument,1.0,0.76,0.656
survey,1.0,0.701,0.56
engage,1.0,0.772,0.651
activities,1.0,0.693,0.559
illegal,1.0,0.621,0.442
nature,1.0,0.708,0.606
agreement,1.0,0.718,0.608
secret,1.0,0.675,0.5
towards,1.0,0.693,0.551
purpose,1.0,0.737,0.655
equivalent,1.0,0.702,0.515
have,1.0,0.524,0.521
same,1.0,0.731,0.593
effect,1.0,0.661,0.569
survive,1.0,0.815,0.759
pulling,1.0,0.772,0.643
money,1.0,0.649,0.549
voluntary,1.0,0.845,0.779
gift,1.0,0.753,0.699
ideas,1.0,0.747,0.666
made,1.0,0.53,0.387
sudden,1.0,0.753,0.681
emotional,1.0,0.676,0.556
loud,1.0,0.688,0.611
emotion,1.0,0.773,0.696
when,1.0,0.657,0.473
go,1.0,0.631,0.565
restore,1.0,0.783,0.635
revive,1.0,0.656,0.498
previous,1.0,0.665,0.539
settlement,1.0,0.688,0.523
distant,1.0,0.741,0.648
their,1.0,0.432,0.345
settle,1.0,0.721,0.584
far,1.0,0.617,0.489
home,1.0,0.65,0.509
but,1.0,0.596,0.485
maintain,1.0,0.777,0.703
ties,1.0,0.636,0.486
remain,1.0,0.706,0.605
are,1.0,0.553,0.465
under,1.0,0.613,0.448
system,1.0,0.707,0.564
