Dataset	Domain	Score	Sent1	Sent2
STS2012-gold	surprise.OnWN	5.000	render one language in another language	restate (words) from one language into another language.
STS2012-gold	surprise.OnWN	3.250	nations unified by shared interests, history or institutions	a group of nations having common interests.
STS2012-gold	surprise.OnWN	3.250	convert into absorbable substances, (as if) with heat or chemical process	soften or disintegrate by means of chemical action, heat, or moisture.
STS2012-gold	surprise.OnWN	4.000	devote or adapt exclusively to an skill, study, or work	devote oneself to a special area of work.
STS2012-gold	surprise.OnWN	3.250	elevated wooden porch of a house	a porch that resembles the deck on a ship.
STS2012-gold	surprise.OnWN	4.000	either half of an archery bow	either of the two halves of a bow from handle to tip.
STS2012-gold	surprise.OnWN	3.333	a removable device that is an accessory to larger object	a supplementary part or accessory.
STS2012-gold	surprise.OnWN	4.750	restrict or confine	place limits on (extent or access).
STS2012-gold	surprise.OnWN	0.500	orient, be positioned	be opposite.
STS2012-gold	surprise.OnWN	4.750	Bring back to life, return from the dead	cause to become alive again.
STS2012-gold	surprise.OnWN	3.750	anything illusory, not concrete or real	something with no concrete substance.
STS2012-gold	surprise.OnWN	4.000	a name or trait that identifies a product or type of thing	a name given to a product or service.
STS2012-gold	surprise.OnWN	1.500	the processing or operation of something	a set sequence of steps, part of larger computer program.
STS2012-gold	surprise.OnWN	2.500	line, cover	cover the front or surface of.
STS2012-gold	surprise.OnWN	4.250	determine a standard; estimate a capacity or measurement	estimate the value of.
STS2012-gold	surprise.OnWN	3.500	an interpretation, an account or reading of an event or situation	a mental representation of the meaning or significance of something.
STS2012-gold	surprise.OnWN	4.250	festive social event, celebration	an occasion on which people can assemble for social interaction and entertainment.
STS2012-gold	surprise.OnWN	5.000	Make fine adjustments to for optimal operation; adjust to a certain scale.	make fine adjustments or divide into marked intervals for optimal measuring.
STS2012-gold	surprise.OnWN	3.750	a short lyric or poem intended to be sung	a narrative song with a recurrent refrain.
STS2012-gold	surprise.OnWN	2.750	effectively wield or manipulate a concrete entity	handle effectively.
STS2012-gold	surprise.OnWN	3.500	employ or become employed in a position	appoint someone to (a position or a job).
STS2012-gold	surprise.OnWN	3.500	group of people defined by a specific profession	organization of performers and associated personnel (especially theatrical).
STS2012-gold	surprise.OnWN	3.500	storage cabinet furniture	office furniture consisting of a container for keeping papers in order.
STS2012-gold	surprise.OnWN	4.250	Signal (approval or interest) by winking; briefly shut one eye.	signal by winking.
STS2012-gold	surprise.OnWN	2.750	capital stock in a corporation	any of the equal portions into which the capital stock of a corporation is divided and ownership of which is evidenced by a stock certificate.
STS2012-gold	surprise.OnWN	2.250	prove or corroborate	establish or strengthen as with new evidence or facts.
STS2012-gold	surprise.OnWN	3.750	(the content of) a communication.	a communication (usually brief) that is written or spoken or signaled.
STS2012-gold	surprise.OnWN	3.000	a partial denture	a denture anchored to teeth on either side of missing teeth.
STS2012-gold	surprise.OnWN	2.750	move to a lower position, terminate something	terminate an association with.
STS2012-gold	surprise.OnWN	2.500	flow, as of liquids	reduce or cause to be reduced from a solid to a liquid state, usually by heating.
STS2012-gold	surprise.OnWN	2.250	seal, insulate or protect	treat the body or any part of it by wrapping it, as with blankets or sheets, and applying compresses to it, or stuffing it to provide cover, containment, or therapy, or to absorb blood.
STS2012-gold	surprise.OnWN	2.500	scar physically; create a mark on someone or something	make underscoring marks.
STS2012-gold	surprise.OnWN	3.500	Surround completely; close in, as if with a covering or border.	surround completely.
STS2012-gold	surprise.OnWN	1.250	the act or event of ending a process, state, situation	the end of a word (a suffix or inflectional ending or final morpheme).
STS2012-gold	surprise.OnWN	0.000	the price of a good or service	an assertion that someone is guilty of a fault or offence.
STS2012-gold	surprise.OnWN	2.000	depict or portray in art, words, or model	create an image or likeness of.
STS2012-gold	surprise.OnWN	0.750	travel in or be shaped like a zigzag	bend into the shape of a crank.
STS2012-gold	surprise.OnWN	4.250	Annoy, harass, or mock, perhaps playfully.	mock or make fun of playfully.
STS2012-gold	surprise.OnWN	0.000	(Cause to) smell bad.	be extremely bad in quality or in one's performance.
STS2012-gold	surprise.OnWN	4.000	social ranking or position	the relative position or standing of things or especially persons in a society.
